Authoritative Name,Synonym,Category
abducens nucleus,abducens nerve nucleus,structure
abducens nucleus,abducens nuclei,structure
abducens nucleus,Nucleus abducens,structure
abducens nucleus,Nucleus nervi abducentis,structure
abducens nucleus,Nucleus nervi abducentis,structure
abducens nucleus,nucleus of abducens nerve,structure
amygdala,amygdalae,structure
amygdala,amygdalar,structure
amygdala,amygdaloid body,structure
amygdala,amygdaloid nuclear complex,structure
amygdala,amygdaloid nuclear groups,structure
amygdala,amygdaloid nucleus,structure
amygdala,archistriatum,structure
amygdala,Corpus amygdalae,structure
amygdala,Corpus amygdaloideum,structure
amygdala,nucleus amygdalae,structure
angular gyrus,angular gyri,structure
angular gyrus,angular gyrus,structure
angular gyrus,Gyrus angularis,structure
angular gyrus,Gyrus parietalis inferior,structure
angular gyrus,middle part of inferior parietal lobule,structure
angular gyrus,prelunate gyrus,structure
angular gyrus,preoccipital gyrus,structure
anterior cingulate gyrus,anterior cingulate,structure
anterior cingulate gyrus,anterior cingulate gyri,structure
anterior cingulate gyrus,anterior cingulate gyrus,structure
anterior cingulate gyrus,Cortex cingularis anterior,structure
anterior cingulate gyrus,Gyrus cinguli anterior,structure
anterior cingulate gyrus,Gyrus limbicus anterior,structure
anterior olfactory nucleus,anterior olfactory nuclei,structure
anterior olfactory nucleus,anterior olfactory nucleus,structure
anterior olfactory nucleus,Area retrobulbaris,structure
anterior olfactory nucleus,Nucleus olfactorius anterior,structure
anterior olfactory nucleus,Regio retrobulbaris,structure
anterior olfactory nucleus,retrobulbar region,structure
basal forebrain nucleus,basal forebrain nuclei,structure
basal forebrain nucleus,basal magnocellular nucleus,structure
basal forebrain nucleus,basal nuclei,structure
basal forebrain nucleus,basal nuclei of Meynert,structure
basal forebrain nucleus,basal nucleus,structure
basal forebrain nucleus,basal nucleus of Meynert,structure
basal forebrain nucleus,ganglion of Meynert,structure
basal forebrain nucleus,Nucleus basalis,structure
basal forebrain nucleus,Nucleus basalis Meynert,structure
basal forebrain nucleus,nucleus basalis of Meynert,structure
basal forebrain nucleus,nucleus of substantia innominata,structure
basal ganglia,basal ganglia,structure
basal ganglia,basal nuclei,structure
basal ganglia,corpus striatum,structure
basal ganglia,deep nuclear gray of hemisphere,structure
basal ganglia,Ganglia basales,structure
basal ganglia,Nuclei basales,structure
basal ganglia,subcortical gray,structure
basal ganglia,telencephalic nuclei,structure
basal nucleus of the amygdala,basal amygdaloid nuclei,structure
basal nucleus of the amygdala,basal amygdaloid nucleus,structure
basal nucleus of the amygdala,basal nuclei of the amygdala,structure
basal nucleus of the amygdala,basolateral amygdaloid nucleus,structure
basal nucleus of the amygdala,basolateral nucleus of amygdala,structure
basal nucleus of the amygdala,intermediate principal nucleus,structure
basal nucleus of the amygdala,Nucleus amygdalae basalis,structure
basal nucleus of the amygdala,Nucleus amygdaloideus basalis,structure
basal nucleus of the amygdala,Nucleus amygdaloideus basolateralis,structure
basal nucleus of the amygdala,Nucleus basalis amygdalae,structure
Broca's area,anterior speech cortex,structure
Broca's area,area of Broca,structure
Broca's area,Broca's area,structure
Broca's area,Broca's speech area,structure
Broca's area,convolution of Broca,structure
Broca's area,motor speech area of Broca,structure
calcarine sulcus,calcarine fissure,structure
calcarine sulcus,calcarine sulci,structure
calcarine sulcus,calcarine sulcus,structure
calcarine sulcus,Fissura calcarina,structure
calcarine sulcus,Sulcus calcarinus,structure
calcarine sulcus,Sulcus calcarinus,structure
caudate nucleus,caudate nuclei,structure
caudate nucleus,caudate nucleus,structure
caudate nucleus,Caudatus,structure
caudate nucleus,Nucleus caudatus,structure
centromedian nucleus,central magnocellular nucleus of thalamus,structure
centromedian nucleus,centre median nucleus,structure
centromedian nucleus,centromedian nuclei,structure
centromedian nucleus,centromedian nucleus,structure
centromedian nucleus,centromedian thalamic nucleus,structure
centromedian nucleus,Centrum medianum,structure
centromedian nucleus,Centrum medianum thalami,structure
centromedian nucleus,Nucleus centralis centralis,structure
centromedian nucleus,Nucleus centralis thalami,structure
centromedian nucleus,Nucleus centri mediani thalami,structure
centromedian nucleus,Nucleus centromedianus,structure
centromedian nucleus,Nucleus centromedianus thalami,structure
centromedian nucleus,Nucleus centrum medianum,structure
cerebellum,Cerebellar,structure
cerebellum,Cerebellum,structure
cerebellum,Corpus cerebelli,structure
cerebellum,epencephalon,structure
cingulate gyrus,callosomarginal gyrus,structure
cingulate gyrus,cingular gyrus,structure
cingulate gyrus,cingulate area,structure
cingulate gyrus,cingulate gyri,structure
cingulate gyrus,cingulate gyrus,structure
cingulate gyrus,cingulate region,structure
cingulate gyrus,Gyri cinguli,structure
cingulate gyrus,Gyrus cingulatus,structure
cingulate gyrus,Gyrus cinguli,structure
cingulate gyrus,upper limbic gyrus,structure
claustrum,claustrum,structure
cochlear nuclei,cochlear nuclei,structure
cochlear nuclei,cochlear nucleus,structure
cochlear nuclei,Nuclei cochleares,structure
cuneate nucleus of the medulla,Burdach's nucleus,structure
cuneate nucleus of the medulla,cuneate nuclei,structure
cuneate nucleus of the medulla,cuneate nucleus,structure
cuneate nucleus of the medulla,cuneate nucleus,structure
cuneate nucleus of the medulla,Nucleus cuneatus,structure
cuneate nucleus of the medulla,Nucleus cuneatus medialis,structure
cuneate nucleus of the medulla,Nucleus restiformis,structure
dentate gyrus,area dentata,structure
dentate gyrus,dentate gyri,structure
dentate gyrus,Fascia dentata,structure
dentate gyrus,Fascia dentata hippocampi,structure
dentate gyrus,Gyrus dentatus,structure
dentate nucleus,dentate nuclei,structure
dentate nucleus,dentate nucleus,structure
dentate nucleus,lateral nucleus of cerebellum,structure
dentate nucleus,Nucleus dentatus,structure
dentate nucleus,Nucleus dentatus cerebelli,structure
dentate nucleus,Nucleus lateralis cerebelli,structure
diagonal band,Bandeletta diagonalis,structure
diagonal band,Broca's diagonal gyrus,structure
diagonal band,diagonal band of Broca,structure
diagonal band,diagonal bands,structure
diagonal band,diagonal gyrus,structure
diagonal band,Fasciculus diagonalis Brocae,structure
diagonal band,Fasciculus olfactorius,structure
diagonal band,Fasciculus olfactorius cornu Ammonis,structure
